ID,SMILES,class
1081629,OC(c1nc2[C@@H](F)C[C@@H](c3ccccc3)n2n1)C1(F)CC1,1
50765445,CN1c2ccccc2OC[C@H](N2CCc3c(Cl)n(Cc4ccccc4)nc3C2=O)C1=O,1
50488138,CN1c2ccccc2OC[C@H](NC(=O)c2cc(Cc3ccccc3)on2)C1=O,1
50765449,CN1c2cc(ccc2OC[C@H](N2CCc3c(Cl)n(Cc4ccccc4)nc3C2=O)C1=O)C#N,1
50765451,CNC(=O)c1ccc2N(C)C(=O)[C@H](COc2c1)N1CCc2c(Cl)n(Cc3ccccc3)nc2C1=O,1
50765450,CN1c2ccc(cc2OC[C@H](N2CCc3c(Cl)n(Cc4ccccc4)nc3C2=O)C1=O)C#N,1
50765428,CN1c2ccccc2OC[C@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)C1=O,1
50765457,CN1c2ccccc2OC[C@H](N2CCc3cn(Cc4c(F)cccc4F)nc3C2=O)C1=O,1
50765459,CN1c2ccccc2OC[C@H](N2CCc3c(nn(Cc4ccccc4)c3C#N)C2=O)C1=O,1
50765434,CN1c2ccccc2OC[C@H](N2CCc3cn(Cc4ccccc4F)nc3C2=O)C1=O,1
50765453,CN1c2ccc(cc2OC[C@H](N2CCc3cn(Cc4c(F)cccc4F)nc3C2=O)C1=O)C#N,1
50765455,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12,1
50765447,CN1c2ccccc2OC[C@H](N2CCc3c(nn(Cc4ccccc4)c3C(N)=O)C2=O)C1=O,1
50765442,CN1c2ccccc2OC[C@H](N2CCc3c(C)n(Cc4ccccc4)nc3C2=O)C1=O,1
1081663,F[C@H]1C[C@@H](c2ccccc2)n2nc(nc12)C(=O)C1(CC1)C#N,1
1081667,F[C@H]1C[C@@H](c2ccccc2)n2nc(nc12)C(=O)C1(CC1)C1CC1,1
1081619,F[C@H]1C[C@@H]1C(=O)c1nc2[C@@H](F)C[C@@H](c3ccccc3)n2n1,1
